"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"Existing","024018151","distribution warehouse","2015","30","707000"
"Existing","111601118","distribution warehouse","2012","30","707000"
"Existing","303130040","warehouse/mega","2020","29","706000"
"Existing","297232004","ct-warehouse/dry storage","2006","29","705000"
"Existing","156340054","light industrial","2000","29","705000"
"Existing","023810185","storage warehouse","2014","29","705000"
"CEQA Review","Temescal Commercial Project","https://ceqanet.opr.ca.gov/2024090267","2030","29","705000"
"Existing","011349182","light industrial","2005","29","704000"
"Existing","8577007023","Warehousing, Distribution, Storage","2020","29","704000"
"Existing","297080015","warehouse/mega","2019","29","703000"
"Existing","105449102","distribution warehouse","2020","29","703000"
"Approved","Perris DC 11","https://ceqanet.opr.ca.gov/2023090700/3","2027","29","702000"
"Existing","303931117","distribution warehouse","2021","29","701000"
"Existing","156140060","light industrial","2020","29","700000"
"Existing","035-020-49","warehouse","1995","29","699000"
"Approved","KISS Logistics Center","https://ceqanet.opr.ca.gov/2022110097/2","2027","29","699000"
"Existing","021126110","distribution warehouse","1998","29","694000"
"Existing","013647214","flex","2013","29","692000"
"Existing","108332102","distribution warehouse","2000","29","691000"
"Existing","156040071","light industrial","2000","29","690000"
"CEQA Review","The Cubes at Placentia Industrial Project","https://ceqanet.opr.ca.gov/2023120020","2030","29","689000"
"Existing","312250049","light industrial","2015","29","687000"
"Existing","111804120","improvements ass'd associated apn","2004","29","687000"
"Existing","024018149","distribution warehouse","2004","29","686000"
"Existing","263240047","warehouse/mega","1980","29","685000"
"Existing","8760023030","Warehousing, Distribution, Storage","1990","29","683000"
"Existing","021126113","flex","2008","28","682000"
"Existing","013824126","transit warehouse (truck terminal)","2001","28","681000"
"Existing","111804119","improvements ass'd associated apn","2004","28","681000"
"Existing","8719005015","Warehousing, Distribution, Storage","1999","28","681000"
"Existing","021121117","flex","2012","28","680000"
"Approved","Prologis Stewart and Gray Road Warehouse Project","https://ceqanet.opr.ca.gov/2022030738/2","2027","28","678000"
"Existing","021128144","distribution warehouse","2001","28","677000"
"CEQA Review","Murrieta Road Warehouse Project","https://ceqanet.opr.ca.gov/2023110162/3","2027","28","676000"
"Existing","025215217","distribution warehouse","2018","28","674000"
"Approved","SPR 2023-006, CORDOVA BUSINESS CENTER DEVELOPMENT PROJECT","https://ceqanet.opr.ca.gov/2024100839","2027","28","674000"
"Existing","7352003069","Warehousing, Distribution, Storage","2001","28","673000"
"Existing","045904142","distribution warehouse","2022","28","670000"
"Existing","156050023","warehouse/dry storage","2004","28","669000"
"Existing","779050018","warehouse/dry storage","1999","28","668000"
"Existing","021817118","light industrial","1981","28","668000"
"Existing","014143124","","2018","28","668000"
"Existing","029204313","distribution warehouse","2006","28","667000"
"Existing","029205420","distribution warehouse","2016","28","667000"
"Existing","3107027050","Warehousing, Distribution, Storage","1998","28","667000"
"Existing","029205130","distribution warehouse","2011","28","664000"
"Existing","6245016930","Warehousing, Distribution, Storage","1990","28","664000"
"Existing","8535001036","Warehousing, Distribution, Storage","1992","28","662000"
"Existing","029203316","distribution warehouse","2016","28","661000"
"Existing","029207220","distribution warehouse","2016","28","660000"
"Existing","029205125","distribution warehouse","2007","28","660000"
"Existing","022928369","light industrial","2008","28","659000"
"Existing","024026174","flex","2016","28","659000"
"Existing","024017131","distribution warehouse","2004","27","659000"
"Existing","025215315","distribution warehouse","2018","28","659000"
"Existing","160040030","warehouse/dry storage","1980","27","658000"
"Existing","156080016","ct-light industrial","2011","27","658000"
"Existing","156040064","light industrial","1998","27","656000"
"Existing","023719151","distribution warehouse","2015","27","654000"
"Approved","NWC Telegraph and SFS","https://ceqanet.opr.ca.gov/2024050495/2","2027","27","654000"
"Existing","022913130","distribution warehouse","2014","27","653000"
"Existing","111924120","distribution warehouse","2018","27","653000"
"CEQA Review","Compass Northern Gateway Project","https://ceqanet.opr.ca.gov/2023010225/2","2030","27","653000"
"Existing","297130063","ct-light industrial","2006","27","651000"
"Existing","029207156","distribution warehouse","2017","27","649000"
"Existing","156040072","light industrial","2001","27","646000"
"Existing","294070038","warehouse/dry storage","2018","27","645000"
"Existing","013636139","distribution warehouse","2013","27","645000"
"Existing","105638104","distribution warehouse","2014","27","645000"
"Existing","276-151-29","warehouse","2002","27","645000"
"Existing","101110018","light industrial","1993","27","644000"
"Existing","8719005014","Warehousing, Distribution, Storage","2007","27","644000"
"Existing","156150073","warehouse/mega","2024","27","643000"
"Existing","314310019","light industrial","2019","27","642000"
"Existing","023808142","light industrial","1980","27","642000"
"Existing","297230031","warehouse/dry storage","2013","27","641000"
"Existing","045919313","distribution warehouse","2021","27","640000"
"Existing","022902160","distribution warehouse","2019","27","638000"
"Existing","029204209","distribution warehouse","2006","27","638000"
"Existing","023802186","distribution warehouse","2018","27","637000"
"Existing","021128157","flex","2008","26","635000"
"Existing","027522365","distribution warehouse","2023","27","635000"
"Existing","591-074-05","warehouse","1980","26","634000"
"Existing","6241018022","Warehousing, Distribution, Storage","2009","26","632000"
"Existing","8245002025","Warehousing, Distribution, Storage","1980","26","629000"
"Existing","023803127","distribution warehouse","2003","26","628000"
"Existing","023803126","flex","2004","26","627000"
"Existing","029712215","storage building","1980","26","627000"
"Existing","5410015018","Warehousing, Distribution, Storage","1999","26","627000"
"Existing","156040080","light industrial","1980","26","626000"
"Existing","160510005","warehouse/dry storage","2001","26","625000"
"Existing","029205224","distribution warehouse","2012","26","625000"
"CEQA Review","Ethanac Logistics Center","https://ceqanet.opr.ca.gov/2023090525/2","2030","26","625000"
"Existing","016768109","distribution warehouse","2002","26","623000"
"Existing","023401116","flex","2006","26","623000"
"Existing","023808180","distribution warehouse","1997","26","622000"
"Existing","7001020013","Warehousing, Distribution, Storage","1996","26","622000"
"Existing","297150056","light industrial","2013","26","621000"
"Existing","045919312","distribution warehouse","2021","26","621000"
"Existing","025507154","flex","2017","26","619000"
"Approved","First March Logistics Project","https://ceqanet.opr.ca.gov/2021120497/2","2027","26","618000"
"CEQA Review","5037 Patata Street Industrial Development","https://ceqanet.opr.ca.gov/2021110098/4","2030","26","617000"
"Existing","105443103","distribution warehouse","2015","26","616000"
"Existing","8577007021","Warehousing, Distribution, Storage","2019","26","615000"
"Approved","Mission Boulevard and Ramona Avenue Business Park Project","https://ceqanet.opr.ca.gov/2021010005/4","2027","26","615000"
"Existing","263060046","warehouse/dry storage","2024","26","614000"
"Existing","302170017","warehouse/dry storage","2017","26","614000"
"Existing","029205129","distribution warehouse","2008","26","613000"
"CEQA Review","El Camino Project","https://ceqanet.opr.ca.gov/2023080369/4","2030","26","613000"
"Existing","294180055","warehouse/mega","2021","26","612000"
"Existing","105437104","distribution warehouse","2019","26","612000"
"Existing","303931117","distribution warehouse","2021","26","612000"
"Approved","5th & Sterling","https://ceqanet.opr.ca.gov/2024050111/2","2027","26","612000"
"Existing","156150053","light industrial","1998","25","609000"
"Approved","Walnut Business Park Project","https://ceqanet.opr.ca.gov/2017101010/5","2027","25","608000"
"Existing","","warehouse","2012","25","607000"
"CEQA Review","First Industrial Logistics at Harley Knox and Indian (DPR 22-00016 and  TPM 25-0004 (TPM 38684))","https://ceqanet.opr.ca.gov/2025051368","2030","25","606000"
"Existing","306636129","light industrial","1994","25","605000"
"Approved","Green Valley Specific Plan","https://ceqanet.opr.ca.gov/1989032707/","2027","25","602000"
"Approved","Duke Warehouse at Patterson Avenue and Nance Street Project","https://ceqanet.opr.ca.gov/2022010274/2","2027","25","601000"
"Existing","737190015","ct-warehouse/cold storage","1985","25","600000"
"Existing","249060033","ct-warehouse/cold storage","2012","25","600000"
"Existing","042131357","transit warehouse (truck terminal)","1980","25","600000"
"Existing","134-451-24","warehouse","1980","25","599000"
"Existing","763400021","ct-light industrial","1980","25","598000"
"Existing","023802102","flex","2013","25","598000"
"Approved","15827 Roxford Street","https://ceqanet.opr.ca.gov/2022080340","2027","25","598000"
"Existing","022949103","distribution warehouse","2024","25","597000"
"CEQA Review","5175 Vincent Avenue Project","https://ceqanet.opr.ca.gov/2018121056/3","2030","25","597000"
"Existing","023416111","cold storage facility","2008","25","596000"
"Approved","Cypress and Slover Warehouse Project","https://ceqanet.opr.ca.gov/2021120059/2","2027","25","596000"
"Existing","023813222","light industrial","1994","25","594000"
"Existing","023809138","transit warehouse (truck terminal)","2002","25","594000"
"Approved","Citrus and Oleander at Santa Ana Avenue","https://ceqanet.opr.ca.gov/2022110389/2","2027","25","593000"
"Existing","156080032","ct-light industrial","1980","25","592000"
"Existing","022929161","distribution warehouse","2025","25","592000"
"Existing","294050080","warehouse/dry storage","2016","25","589000"
"Existing","011031146","distribution warehouse","2016","25","589000"
"Existing","8719007048","Warehousing, Distribution, Storage","2007","25","588000"
"Existing","8125015014","Warehousing, Distribution, Storage","2004","24","586000"
"Existing","016764107","distribution warehouse","2001","24","585000"
"Existing","023615167","transit warehouse (truck terminal)","1982","24","584000"
"Existing","6134021016","Warehousing, Distribution, Storage","2016","24","584000"
"Existing","6134021015","Warehousing, Distribution, Storage","2016","24","583000"
"Existing","8069012008","Warehousing, Distribution, Storage","1980","24","583000"
"Approved","Greenleaf Business Center","https://ceqanet.opr.ca.gov/2019119061/2","2027","24","583000"
"Existing","178350028","light industrial","1991","24","582000"
"Existing","026002125","transit warehouse (truck terminal)","2001","24","582000"
"Existing","297170069","light industrial","2007","24","581000"
"Existing","025804144","distribution warehouse","2020","24","581000"
"Existing","302110040","warehouse/dry storage","2017","24","580000"
"Existing","374-751-30","warehouse","1980","24","580000"
"Existing","163400018","light industrial","1990","24","579000"
"Existing","026602154","transit warehouse (truck terminal)","2020","24","579000"
"Existing","263070054","light industrial","2003","24","578000"
"Existing","666370022","light industrial","1985","24","577000"
"Existing","014801154","distribution warehouse","2007","24","577000"
"Existing","023815223","distribution warehouse","1989","24","577000"
"Existing","021007245","distribution warehouse","2002","24","575000"
"Existing","156360016","light industrial","1995","24","574000"
"Existing","156140061","warehouse/dry storage","2020","24","573000"
"Existing","297160005","warehouse/mega","2021","24","571000"
"Existing","023808167","distribution warehouse","1989","24","571000"
"Existing","745360004","light industrial","2007","24","569000"
"Existing","023401112","distribution warehouse","2004","24","569000"
"Existing","6335007023","Warehousing, Distribution, Storage","1999","24","569000"
"CEQA Review","PLAN23-00003 - Industrial Warehouse","https://ceqanet.opr.ca.gov/2024100081","2030","24","568000"
"Approved","Santa Clarita Commerce Center Project","https://ceqanet.opr.ca.gov/2023050685","2027","24","568000"
